sample_id,image_path,dataset,original_label,canonical_label,patient_id,group_id,split,source_partition,annotation_path,clinical_reading_path,width,height,image_mode,bit_depth,checksum_sha256,audit_flags,provenance,bounding_boxes,metadata
tbx11k:extra/da+db/train/n11.png,..\raw\tbx11k\TBX11K\imgs\extra\da+db\train\n11.png,tbx11k,Bundled external image (source label encoded in filename),,,,supplemental_train,bundled_external_subset,,,512,512,RGB,8,6063c8d058c1d55f46903d2cc7c1169f83be22952fc30eb4d4274f229f4e95c5,"[""ground_truth_not_released"", ""bundled_external_source""]","{""archive_sha256"": ""890d309b7ecaead989f527ff6eb756194cd89200cbe71c7287d1895ef0b2beab"", ""retrieval_date"": ""2026-09-19"", ""source_url"": ""https://github.com/yun-liu/Tuberculosis""}",[],"{""bundled_external_source"": ""da+db"", ""dhash_256"": ""8b80bf8cf496e19c719c719c718c738c338cb184b384b6841898589858895cc1"", ""ground_truth_released"": false, ""label_basis"": ""directory label for health/sick/tb; official test label intentionally blank; subtype of tb folder not exposed in release lists"", ""observed_max"": 244, ""observed_min"": 6, ""official_list_memberships"": [""all_train"", ""all_trainval""], ""patient_group_identifier_available"": false, ""relative_release_path"": ""extra/da+db/train/n11.png""}"
tbx11k:extra/da+db/train/n12.png,..\raw\tbx11k\TBX11K\imgs\extra\da+db\train\n12.png,tbx11k,Bundled external image (source label encoded in filename),,,,supplemental_train,bundled_external_subset,,,512,512,RGB,8,c128f0ee0dd840a621ca4967e7d56d0b9d07bb743db884503dec3d312331db68,"[""ground_truth_not_released"", ""bundled_external_source""]","{""archive_sha256"": ""890d309b7ecaead989f527ff6eb756194cd89200cbe71c7287d1895ef0b2beab"", ""retrieval_date"": ""2026-09-19"", ""source_url"": ""https://github.com/yun-liu/Tuberculosis""}",[],"{""bundled_external_source"": ""da+db"", ""dhash_256"": ""7f80ed98c99dd18dd19ef38ef38ef38e638667866d827c987490bc84bc903c90"", ""ground_truth_released"": false, ""label_basis"": ""directory label for health/sick/tb; official test label intentionally blank; subtype of tb folder not exposed in release lists"", ""observed_max"": 243, ""observed_min"": 4, ""official_list_memberships"": [""all_train"", ""all_trainval""], ""patient_group_identifier_available"": false, ""relative_release_path"": ""extra/da+db/train/n12.png""}"
tbx11k:extra/da+db/train/n13.png,..\raw\tbx11k\TBX11K\imgs\extra\da+db\train\n13.png,tbx11k,Bundled external image (source label encoded in filename),,,,supplemental_train,bundled_external_subset,,,512,512,RGB,8,0310104e052f35de1ad8461c940bd241b5a7c1e6f2a6c4356d3468622ce8c36f,"[""ground_truth_not_released"", ""bundled_external_source""]","{""archive_sha256"": ""890d309b7ecaead989f527ff6eb756194cd89200cbe71c7287d1895ef0b2beab"", ""retrieval_date"": ""2026-09-19"", ""source_url"": ""https://github.com/yun-liu/Tuberculosis""}",[],"{""bundled_external_source"": ""da+db"", ""dhash_256"": ""178f7f80e9b0e138f13ab319b31bb31b331b3f033f233f033f021f023f023f02"", ""ground_truth_released"": false, ""label_basis"": ""directory label for health/sick/tb; official test label intentionally blank; subtype of tb folder not exposed in release lists"", ""observed_max"": 247, ""observed_min"": 10, ""official_list_memberships"": [""all_train"", ""all_trainval""], ""patient_group_identifier_available"": false, ""relative_release_path"": ""extra/da+db/train/n13.png""}"
tbx11k:extra/da+db/train/n14.png,..\raw\tbx11k\TBX11K\imgs\extra\da+db\train\n14.png,tbx11k,Bundled external image (source label encoded in filename),,,,supplemental_train,bundled_external_subset,,,512,512,RGB,8,10585b269b9990a85b6654782413a819d855dd827a8aef7ef9828e7d0a0a3a63,"[""ground_truth_not_released"", ""bundled_external_source""]","{""archive_sha256"": ""890d309b7ecaead989f527ff6eb756194cd89200cbe71c7287d1895ef0b2beab"", ""retrieval_date"": ""2026-09-19"", ""source_url"": ""https://github.com/yun-liu/Tuberculosis""}",[],"{""bundled_external_source"": ""da+db"", ""dhash_256"": ""3e0bfe18926c8678c630c638c639c638ce18c6189e1cb208e241da31ea31fa42"", ""ground_truth_released"": false, ""label_basis"": ""directory label for health/sick/tb; official test label intentionally blank; subtype of tb folder not exposed in release lists"", ""observed_max"": 246, ""observed_min"": 5, ""official_list_memberships"": [""all_train"", ""all_trainval""], ""patient_group_identifier_available"": false, ""relative_release_path"": ""extra/da+db/train/n14.png""}"
tbx11k:extra/da+db/train/n17.png,..\raw\tbx11k\TBX11K\imgs\extra\da+db\train\n17.png,tbx11k,Bundled external image (source label encoded in filename),,,,supplemental_train,bundled_external_subset,,,512,512,RGB,8,3892e964fa92e57f83d624d4e29add182db06e98529edb8e8100a6cfac5db367,"[""ground_truth_not_released"", ""bundled_external_source""]","{""archive_sha256"": ""890d309b7ecaead989f527ff6eb756194cd89200cbe71c7287d1895ef0b2beab"", ""retrieval_date"": ""2026-09-19"", ""source_url"": ""https://github.com/yun-liu/Tuberculosis""}",[],"{""bundled_external_source"": ""da+db"", ""dhash_256"": ""8b893b86e1d3e4db30cc38cc79ccb9c41bc65bc41cc41c8c2cc82ec12f812f81"", ""ground_truth_released"": false, ""label_basis"": ""directory label for health/sick/tb; official test label intentionally blank; subtype of tb folder not exposed in release lists"", ""observed_max"": 255, ""observed_min"": 0, ""official_list_memberships"": [""all_train"", ""all_trainval""], ""patient_group_identifier_available"": false, ""relative_release_path"": ""extra/da+db/train/n17.png""}"
tbx11k:extra/da+db/train/n20.png,..\raw\tbx11k\TBX11K\imgs\extra\da+db\train\n20.png,tbx11k,Bundled external image (source label encoded in filename),,,,supplemental_train,bundled_external_subset,,,512,512,RGB,8,457140338c75b81246a515147c83b5f634d7afc5750b982491f9cdbe0f0d8e1c,"[""ground_truth_not_released"", ""bundled_external_source""]","{""archive_sha256"": ""890d309b7ecaead989f527ff6eb756194cd89200cbe71c7287d1895ef0b2beab"", ""retrieval_date"": ""2026-09-19"", ""source_url"": ""https://github.com/yun-liu/Tuberculosis""}",[],"{""bundled_external_source"": ""da+db"", ""dhash_256"": ""3f8bef04e9247338633863386318e718e718671867086f096f0979017d917d41"", ""ground_truth_released"": false, ""label_basis"": ""directory label for health/sick/tb; official test label intentionally blank; subtype of tb folder not exposed in release lists"", ""observed_max"": 255, ""observed_min"": 0, ""official_list_memberships"": [""all_train"", ""all_trainval""], ""patient_group_identifier_available"": false, ""relative_release_path"": ""extra/da+db/train/n20.png""}"
tbx11k:extra/da+db/train/n21.png,..\raw\tbx11k\TBX11K\imgs\extra\da+db\train\n21.png,tbx11k,Bundled external image (source label encoded in filename),,,,supplemental_train,bundled_external_subset,,,512,512,RGB,8,11f7117e37c610930db2d7710013e7ad41bbb235595dfd531d74b735388fc888,"[""ground_truth_not_released"", ""bundled_external_source""]","{""archive_sha256"": ""890d309b7ecaead989f527ff6eb756194cd89200cbe71c7287d1895ef0b2beab"", ""retrieval_date"": ""2026-09-19"", ""source_url"": ""https://github.com/yun-liu/Tuberculosis""}",[],"{""bundled_external_source"": ""da+db"", ""dhash_256"": ""0f87e789e338e338b3396339631963197319b511b892b99219225d025d023f02"", ""ground_truth_released"": false, ""label_basis"": ""directory label for health/sick/tb; official test label intentionally blank; subtype of tb folder not exposed in release lists"", ""observed_max"": 255, ""observed_min"": 0, ""official_list_memberships"": [""all_train"", ""all_trainval""], ""patient_group_identifier_available"": false, ""relative_release_path"": ""extra/da+db/train/n21.png""}"
tbx11k:extra/da+db/train/n22.png,..\raw\tbx11k\TBX11K\imgs\extra\da+db\train\n22.png,tbx11k,Bundled external image (source label encoded in filename),,,,supplemental_train,bundled_external_subset,,,512,512,RGB,8,468a99153830c0437b0fe9f0c3d482789266bc4a17504f5db20231784dee0f2e,"[""ground_truth_not_released"", ""bundled_external_source""]","{""archive_sha256"": ""890d309b7ecaead989f527ff6eb756194cd89200cbe71c7287d1895ef0b2beab"", ""retrieval_date"": ""2026-09-19"", ""source_url"": ""https://github.com/yun-liu/Tuberculosis""}",[],"{""bundled_external_source"": ""da+db"", ""dhash_256"": ""8f1cc71cdb3cc31cc33ce71ce71ce71ce71ce9146f186d28694875297d297d09"", ""ground_truth_released"": false, ""label_basis"": ""directory label for health/sick/tb; official test label intentionally blank; subtype of tb folder not exposed in release lists"", ""observed_max"": 255, ""observed_min"": 0, ""official_list_memberships"": [""all_train"", ""all_trainval""], ""patient_group_identifier_available"": false, ""relative_release_path"": ""extra/da+db/train/n22.png""}"
tbx11k:extra/da+db/train/n27.png,..\raw\tbx11k\TBX11K\imgs\extra\da+db\train\n27.png,tbx11k,Bundled external image (source label encoded in filename),,,,supplemental_train,bundled_external_subset,,,512,512,RGB,8,5d533505128ed59d5b03c021d0043fd4567e35c01d64a3357ffa95476de4b429,"[""ground_truth_not_released"", ""bundled_external_source""]","{""archive_sha256"": ""890d309b7ecaead989f527ff6eb756194cd89200cbe71c7287d1895ef0b2beab"", ""retrieval_date"": ""2026-09-19"", ""source_url"": ""https://github.com/yun-liu/Tuberculosis""}",[],"{""bundled_external_source"": ""da+db"", ""dhash_256"": ""9c33bc06f8238cf04cf88ce08c649c669c338c33e473c4d3e4d3c4c3d4c2f4c2"", ""ground_truth_released"": false, ""label_basis"": ""directory label for health/sick/tb; official test label intentionally blank; subtype of tb folder not exposed in release lists"", ""observed_max"": 255, ""observed_min"": 0, ""official_list_memberships"": [""all_train"", ""all_trainval""], ""patient_group_identifier_available"": false, ""relative_release_path"": ""extra/da+db/train/n27.png""}"
tbx11k:extra/da+db/train/n28.png,..\raw\tbx11k\TBX11K\imgs\extra\da+db\train\n28.png,tbx11k,Bundled external image (source label encoded in filename),,,,supplemental_train,bundled_external_subset,,,512,512,RGB,8,14023223060ec0def4ed780975a912aea5496f6dcd5c444568394871c36de9f1,"[""ground_truth_not_released"", ""bundled_external_source""]","{""archive_sha256"": ""890d309b7ecaead989f527ff6eb756194cd89200cbe71c7287d1895ef0b2beab"", ""retrieval_date"": ""2026-09-19"", ""source_url"": ""https://github.com/yun-liu/Tuberculosis""}",[],"{""bundled_external_source"": ""da+db"", ""dhash_256"": ""be03f260c338e738e338e738673a671a671a6a133e137e433e037e037e037e02"", ""ground_truth_released"": false, ""label_basis"": ""directory label for health/sick/tb; official test label intentionally blank; subtype of tb folder not exposed in release lists"", ""observed_max"": 255, ""observed_min"": 5, ""official_list_memberships"": [""all_train"", ""all_trainval""], ""patient_group_identifier_available"": false, ""relative_release_path"": ""extra/da+db/train/n28.png""}"
